time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-11-23T00:02:44.200Z,19.1835,-155.4865,30.42,3.09,ml,49,73,0.03622,0.1,hv,hv74537912,2024-11-23T00:32:39.138Z,"2 km SSW of Pāhala, Hawaii",earthquake,0.5,0.53,0.13468193561208,35,reviewed,hv,hv
2024-11-22T22:15:54.170Z,34.0586667,-118.8065,10.59,3.77,ml,84,93,0.02869,0.22,ci,ci40798519,2024-11-24T10:40:48.409Z,"6 km N of Malibu, CA",earthquake,0.22,0.31,0.175,314,reviewed,ci,ci
2024-11-22T21:59:21.313Z,0.3096,122.1504,145.14,4.4,mb,35,60,1.479,0.63,us,us6000p757,2024-11-22T22:14:39.040Z,"104 km WSW of Gorontalo, Indonesia",earthquake,7.5,7.046,0.106,26,reviewed,us,us
2024-11-22T21:52:58.213Z,59.7448,-152.7273,83.3,3.4,ml,,,,0.6,ak,ak024f15jutw,2024-11-22T23:11:35.040Z,"50 km W of Anchor Point, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2024-11-22T18:40:27.897Z,31.9135,140.8337,57.14,4.2,mb,36,131,1.476,0.41,us,us6000p746,2024-11-22T22:25:33.040Z,"Izu Islands, Japan region",earthquake,8.88,8.755,0.107,25,reviewed,us,us
2024-11-22T15:22:03.408Z,-0.0324,123.9096,104.932,4.8,mb,32,61,1.517,0.75,us,us6000p6zn,2024-11-22T16:11:32.040Z,"79 km SW of Modisi, Indonesia",earthquake,6.74,7.994,0.121,21,reviewed,us,us
2024-11-22T15:10:47.232Z,55.8337,-149.9859,10,3.1,ml,15,311,2.42,0.36,us,us6000p6zk,2024-11-22T21:09:11.040Z,"242 km SE of Chiniak, Alaska",earthquake,11.63,2.028,0.105,12,reviewed,us,us
2024-11-22T14:25:46.464Z,46.5671,153.065,53.074,4.6,mb,34,180,7.089,0.74,us,us6000p6zh,2024-11-22T15:17:21.040Z,"Kuril Islands",earthquake,11.99,9.128,0.08,47,reviewed,us,us
2024-11-22T12:40:19.227Z,23.1676,120.2267,10,4.9,mwr,70,36,0.393,0.72,us,us6000p6ze,2024-11-23T14:59:34.643Z,"16 km N of Yongkang, Taiwan",earthquake,1.93,1.833,0.068,21,reviewed,us,us
2024-11-22T12:16:24.840Z,19.1705,-64.5788,26,3.78,md,15,294,0.7565,0.28,pr,pr2024327001,2024-11-22T13:29:21.040Z,"95 km NNE of Cruz Bay, U.S. Virgin Islands",earthquake,2.08,19.94,0.18,8,reviewed,pr,pr
2024-11-22T11:59:22.429Z,59.0796,-153.6192,107.1,3.2,ml,,,,0.2,ak,ak024f0zmy36,2024-11-22T13:10:50.040Z,"72 km SE of Pope-Vannoy Landing, Alaska",earthquake,,0.6,,,automatic,ak,ak
2024-11-22T11:25:19.811Z,-53.0777,19.6611,10,5,mb,32,60,20.703,0.54,us,us6000p6z5,2024-11-22T12:05:21.040Z,"southwest of Africa",earthquake,11.64,1.881,0.105,29,reviewed,us,us
2024-11-22T11:07:50.319Z,-41.4036,-85.4551,10,4.8,mb,31,146,9.271,0.43,us,us6000p6z0,2024-11-22T11:41:59.040Z,"West Chile Rise",earthquake,12.92,1.909,0.07,64,reviewed,us,us
2024-11-22T10:00:01.491Z,62.3887,-148.5673,32.3,2.6,ml,,,,0.63,ak,ak024f0yotn9,2024-11-22T15:12:12.040Z,"66 km N of Chickaloon, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-11-22T09:51:06.867Z,52.4164,-169.5965,35,2.8,ml,15,216,0.379,0.59,us,us6000p73i,2024-11-23T05:41:56.040Z,"76 km SW of Nikolski, Alaska",earthquake,4.61,2.005,0.097,14,reviewed,us,us
2024-11-22T09:29:48.621Z,36.3856,26.846,121.172,4.6,mb,136,109,1.044,0.81,us,us6000p6yq,2024-11-22T12:10:53.040Z,"35 km SW of Mandráki, Greece",earthquake,6.94,7.249,0.064,73,reviewed,us,us
2024-11-22T09:24:10.830Z,-10.1898,-75.5446,10,4.7,mb,70,105,2.194,0.5,us,us6000p6yn,2024-11-23T09:00:20.107Z,"45 km NNW of Oxapampa, Peru",earthquake,6.86,1.874,0.056,96,reviewed,us,us
2024-11-22T08:31:06.041Z,0.4966,126.6325,57.852,4.5,mb,40,51,0.783,0.67,us,us6000p6yg,2024-11-22T13:44:09.040Z,"89 km WSW of Ternate, Indonesia",earthquake,7.96,8.264,0.099,30,reviewed,us,us
2024-11-22T08:04:15.155Z,54.4828,-159.7633,28.774,4.3,mb,18,164,0.961,0.68,us,us6000p6y9,2024-11-22T17:37:00.920Z,"106 km SSE of Sand Point, Alaska",earthquake,6.74,5.114,0.147,13,reviewed,us,us
2024-11-22T07:55:01.876Z,3.9422,-85.9793,10,4.3,mb,35,160,5.942,0.97,us,us6000p6y8,2024-11-22T09:25:33.040Z,"off the coast of Central America",earthquake,10.43,1.955,0.111,23,reviewed,us,us
2024-11-22T07:51:06.027Z,2.6393,128.2565,73.851,5.2,mb,77,35,2.057,1.08,us,us6000p6y6,2024-11-22T08:28:59.040Z,"104 km NNE of Tobelo, Indonesia",earthquake,7.84,6.625,0.041,191,reviewed,us,us
2024-11-22T06:11:03.530Z,19.5776,-65.19,77,3.6,md,12,283,1.2453,0.55,pr,pr2024327000,2024-11-22T06:43:16.538Z,"139 km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,7.98,17.41,0.16,10,reviewed,pr,pr
2024-11-22T05:43:31.338Z,26.2532,124.9733,7.24,4.5,mb,33,91,1.982,0.92,us,us6000p6xu,2024-11-22T13:58:42.137Z,"163 km NNW of Hirara, Japan",earthquake,8.03,5.764,0.135,16,reviewed,us,us
2024-11-22T03:44:40.631Z,6.9028,126.5858,106.481,4.6,mb,36,117,1.013,0.6,us,us6000p6xc,2024-11-22T04:06:17.040Z,"21 km ESE of Lukatan, Philippines",earthquake,10.75,7.202,0.109,27,reviewed,us,us
2024-11-22T02:30:27.754Z,-17.5487,-69.4762,164.87,4.9,mb,71,81,0.041,1.21,us,us6000p6x2,2024-11-22T02:51:01.040Z,"57 km ENE of Palca, Peru",earthquake,7.49,5.978,0.052,116,reviewed,us,us
2024-11-22T02:03:20.704Z,-33.146,-179.0593,56.572,4.6,mb,21,113,3.993,0.84,us,us6000p6wz,2024-11-22T21:52:15.040Z,"south of the Kermadec Islands",earthquake,10.03,6.464,0.141,15,reviewed,us,us
2024-11-22T01:08:08.516Z,32.764,-100.662,7.6904,2.8,ml,17,79,0.1,0.1,tx,tx2024wxsg,2024-11-22T01:20:17.040Z,"16 km NNE of Hermleigh, Texas",earthquake,0.65833718797138,1.070011848331,0.1,24,reviewed,tx,tx
2024-11-22T01:05:14.008Z,36.4307,71.3222,99.424,4.3,mb,36,96,2.392,1.07,us,us6000p6wx,2024-11-22T03:01:53.040Z,"33 km SW of Ashkāsham, Afghanistan",earthquake,5.58,9.111,0.113,22,reviewed,us,us
